Trade ID,Raw Confidence,Calibrated P(win),Confluence Score,Confluence Possible,Trend Score,Momentum Score,Options Score,Structure Score,Agent Agreement,EV (R),EV Score,Friction Penalty,Structure Gate,Missing Data,Final Decision
SNAP_20260522_142005_2882,37.6,0.55,37.6,100.0,0,0,0,0,0.0,0.5192,0.0,0.0,PASS,"Friction (Tick Data), Exit",Rejected (LOW_CONFIDENCE)
SNAP_20260522_142210_0463,42.4,0.55,42.4,100.0,0,0,0,0,0.0,0.5192,0.0,0.0,PASS,"Friction (Tick Data), Exit",Rejected (LOW_CONFIDENCE)
SNAP_20260522_142301_9989,42.1,0.55,42.1,100.0,0,0,0,0,0.0,0.5192,0.0,0.0,PASS,"Friction (Tick Data), Exit",Rejected (LOW_CONFIDENCE)
SNAP_20260527_102801_5738,47.7,0.55,47.7,100.0,0,0,0,0,0.0,0.5196,0.0,0.0,PASS,"Friction (Tick Data), Exit",Rejected (LOW_CONFIDENCE)
SNAP_20260601_105001_3448,56.1,0.55,56.1,100.0,0,0,0,0,0.0,0.5196,0.0,0.0,PASS,"Friction (Tick Data), Exit",Rejected (LOW_CONFLUENCE)
SNAP_20260601_105101_5245,50.7,0.55,50.7,100.0,0,0,0,0,0.0,0.5196,0.0,0.0,PASS,"Friction (Tick Data), Exit",Rejected (LOW_CONFIDENCE)
SNAP_20260601_105200_8486,60.4,0.55,60.4,100.0,0,0,0,0,0.0,0.5196,0.0,0.0,PASS,"Friction (Tick Data), Exit",Rejected (LOW_CONFLUENCE)
SNAP_20260601_105300_8795,60.9,0.55,60.9,100.0,0,0,0,0,0.0,0.5196,0.0,0.0,PASS,"Friction (Tick Data), Exit",Rejected (LOW_CONFLUENCE)
SNAP_20260601_105401_4975,48.6,0.55,48.6,100.0,0,0,0,0,0.0,0.5196,0.0,0.0,PASS,"Friction (Tick Data), Exit",Rejected (LOW_CONFIDENCE)
SNAP_20260601_105501_5863,48.5,0.55,48.5,100.0,0,0,0,0,0.0,0.5196,0.0,0.0,PASS,"Friction (Tick Data), Exit",Rejected (LOW_CONFIDENCE)
SNAP_20260601_110201_3841,66.3,0.55,66.3,100.0,0,0,0,0,0.0,0.5196,0.0,0.0,PASS,"Friction (Tick Data), Exit",Rejected (LOW_CONFLUENCE)
SNAP_20260601_110701_7526,52.3,0.55,52.3,100.0,0,0,0,0,0.0,0.5196,0.0,0.0,PASS,"Friction (Tick Data), Exit",Rejected (LOW_CONFLUENCE)
SNAP_20260601_110801_5287,54.5,0.55,54.5,100.0,0,0,0,0,0.0,0.5196,0.0,0.0,PASS,"Friction (Tick Data), Exit",Rejected (LOW_CONFLUENCE)
SNAP_20260601_110901_0656,51.8,0.55,51.8,100.0,0,0,0,0,0.0,0.5196,0.0,0.0,PASS,"Friction (Tick Data), Exit",Rejected (LOW_CONFIDENCE)
SNAP_20260601_111001_7187,66.0,0.55,66.0,100.0,0,0,0,0,0.0,0.5192,0.0,0.0,PASS,"Friction (Tick Data), Exit",Rejected (LOW_CONFLUENCE)
SNAP_20260601_114501_8794,55.6,0.55,55.6,100.0,0,0,0,0,0.0,0.5192,0.0,0.0,PASS,"Friction (Tick Data), Exit",Rejected (LOW_CONFLUENCE)
SNAP_20260601_114601_6732,56.1,0.55,56.1,100.0,0,0,0,0,0.0,0.5192,0.0,0.0,PASS,"Friction (Tick Data), Exit",Rejected (LOW_CONFLUENCE)
SNAP_20260601_114701_4106,61.3,0.55,61.3,100.0,0,0,0,0,0.0,0.5192,0.0,0.0,PASS,"Friction (Tick Data), Exit",Rejected (LOW_CONFLUENCE)
SNAP_20260601_115701_1796,38.4,0.55,38.4,100.0,0,0,0,0,0.0,0.5192,0.0,0.0,PASS,"Friction (Tick Data), Exit",Rejected (LOW_CONFIDENCE)
SNAP_20260601_115801_3532,44.3,0.55,44.3,100.0,0,0,0,0,0.0,0.5192,0.0,0.0,PASS,"Friction (Tick Data), Exit",Rejected (LOW_CONFIDENCE)
SNAP_20260601_115901_1532,59.6,0.55,59.6,100.0,0,0,0,0,0.0,0.5192,0.0,0.0,PASS,"Friction (Tick Data), Exit",Rejected (LOW_CONFLUENCE)
SNAP_20260601_120000_9746,61.4,0.55,61.4,100.0,0,0,0,0,0.0,0.5192,0.0,0.0,PASS,"Friction (Tick Data), Exit",Rejected (LOW_CONFLUENCE)
